date,home_team,away_team,home_goals,away_goals,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,result,odds_home_win,odds_draw,odds_away_win,season,elo_home_pre,elo_away_pre,elo_diff_pre,form_wins_home,form_points_home,form_goals_scored_home,form_goals_conceded_home,form_shots_on_target_home,form_fouls_committed_home,form_win_streak_home,form_wins_away,form_points_away,form_goals_scored_away,form_goals_conceded_away,form_shots_on_target_away,form_fouls_committed_away,form_win_streak_away,home_squad_value,home_squad_size,away_squad_value,away_squad_size
2015-09-12,Crystal Palace,Man City,0,1,2,7,13,13,A,5.387499999999999,3.98125,1.6637499999999998,15,1522.881804071954,1545.7698384773396,-22.888034405385724,3.0,9.0,8.0,5.0,23.0,61.0,2,4.0,12.0,10.0,0.0,29.0,44.0,4,120250000.0,31,480850000.0,25
2015-09-12,Everton,Chelsea,3,1,9,2,12,12,H,3.89,3.4475,2.0325,15,1500.2714096108737,1488.7525759363052,11.51883367456844,1.0,5.0,5.0,4.0,13.0,31.0,0,1.0,4.0,6.0,9.0,20.0,49.0,0,179800000.0,26,532750000.0,24
2015-09-12,Man United,Liverpool,3,1,3,4,6,11,H,1.95375,3.40625,4.36875,15,1510.6790003389992,1509.0348539575743,1.6441463814248891,2.0,7.0,3.0,2.0,15.0,52.0,0,2.0,7.0,2.0,3.0,14.0,57.0,0,369250000.0,24,334250000.0,27
2015-09-12,Norwich,Bournemouth,3,1,4,2,10,11,H,2.385,3.37,3.07625,15,1487.4890406006225,1490.676203803634,-3.18716320301155,1.0,4.0,5.0,8.0,20.0,49.0,0,1.0,4.0,5.0,6.0,13.0,51.0,0,70150000.0,27,49000000.0,27
2015-09-12,Watford,Swansea,1,0,6,3,11,14,H,2.7025,3.26,2.76875,15,1488.3910837450976,1522.914774293189,-34.52369054809151,0.0,3.0,2.0,4.0,10.0,48.0,0,2.0,8.0,7.0,4.0,29.0,42.0,1,77750000.0,29,134500000.0,27
2015-09-12,West Brom,Southampton,0,0,1,4,5,5,D,3.08875,3.205,2.48,15,1489.0707008757329,1500.4977836066269,-11.4270827308942,1.0,4.0,3.0,6.0,13.0,40.0,1,1.0,5.0,5.0,5.0,22.0,38.0,1,97500000.0,25,180750000.0,26
2015-09-13,Leicester,Aston Villa,3,2,6,4,8,13,H,1.88,3.59,4.356249999999999,15,1521.9572075747303,1487.342087204103,34.61512037062698,2.0,8.0,8.0,5.0,18.0,51.0,0,1.0,4.0,4.0,5.0,12.0,52.0,0,87800000.0,23,102050000.0,29
2015-09-13,Sunderland,Tottenham,0,1,2,4,11,12,A,4.1075,3.5112500000000004,1.95125,15,1477.581130984196,1489.301043647402,-11.71991266320606,0.0,2.0,6.0,10.0,12.0,54.0,0,0.0,3.0,3.0,4.0,23.0,61.0,0,111750000.0,28,298000000.0,27
2015-09-14,West Ham,Newcastle,2,0,3,4,8,11,H,2.20875,3.42,3.39375,15,1500.3914120244615,1477.597011003397,22.79440102106446,2.0,6.0,9.0,6.0,16.0,39.0,1,0.0,2.0,2.0,5.0,6.0,43.0,0,139500000.0,24,158500000.0,29
2015-09-19,Aston Villa,West Brom,0,1,3,6,10,11,A,2.3149999999999995,3.20125,3.3600000000000003,15,1478.53152144302,1487.403896953948,-8.872375510928123,1.0,4.0,6.0,8.0,16.0,65.0,0,1.0,5.0,3.0,6.0,14.0,45.0,0,105550000.0,28,93500000.0,24
2015-09-19,Bournemouth,Sunderland,2,0,5,2,14,15,H,1.70125,3.89875,5.18125,15,1480.6211452623788,1463.9242470767454,16.696898185633472,1.0,4.0,6.0,9.0,15.0,62.0,0,0.0,2.0,6.0,11.0,14.0,65.0,0,52500000.0,28,113250000.0,28
2015-09-19,Chelsea,Arsenal,2,0,7,2,12,11,H,2.4437499999999996,3.39625,3.01,15,1479.1884405366711,1522.120721811652,-42.932281274980824,1.0,4.0,7.0,12.0,22.0,61.0,0,3.0,10.0,5.0,3.0,39.0,40.0,2,531750000.0,24,402000000.0,25
2015-09-19,Man City,West Ham,1,2,8,3,10,7,A,1.27125,6.08125,11.635,15,1559.0467874569088,1509.584723023287,49.46206443362166,5.0,15.0,11.0,0.0,36.0,57.0,5,3.0,9.0,11.0,6.0,19.0,47.0,2,480850000.0,25,165000000.0,27
2015-09-19,Newcastle,Watford,1,2,5,4,8,12,A,2.4437499999999996,3.31625,3.0687499999999996,15,1468.4037000045714,1499.512736859415,-31.10903685484368,0.0,2.0,2.0,7.0,10.0,54.0,0,1.0,6.0,3.0,4.0,16.0,59.0,1,157500000.0,28,82500000.0,28
2015-09-19,Stoke,Leicester,2,2,4,5,7,12,D,2.5387500000000003,3.3075,2.9262499999999996,15,1467.280316432109,1530.7677733358137,-63.4874569037047,0.0,2.0,3.0,7.0,18.0,42.0,0,3.0,11.0,11.0,7.0,24.0,59.0,1,116250000.0,29,89800000.0,23
2015-09-19,Swansea,Everton,0,0,3,2,12,11,D,2.2762499999999997,3.3362499999999997,3.31375,15,1511.7931211788716,1509.8355450105078,1.9575761683638575,2.0,8.0,7.0,5.0,32.0,56.0,0,2.0,8.0,8.0,5.0,22.0,43.0,1,129250000.0,25,194300000.0,28
2015-09-20,Liverpool,Norwich,1,1,7,2,4,13,D,1.6462499999999998,3.90875,5.73875,15,1499.1419036153284,1497.5440991418775,1.5978044734506511,2.0,7.0,3.0,6.0,18.0,68.0,0,2.0,7.0,8.0,9.0,24.0,59.0,1,330250000.0,26,72650000.0,26
2015-09-20,Southampton,Man United,2,3,8,3,6,13,A,3.1587500000000004,3.21,2.43875,15,1502.1645875284114,1520.5719506812452,-18.407363152833796,1.0,6.0,5.0,5.0,26.0,43.0,0,3.0,10.0,6.0,3.0,18.0,58.0,1,185750000.0,27,377250000.0,25
2015-09-20,Tottenham,Crystal Palace,1,0,6,4,9,11,H,1.96625,3.5549999999999997,3.9625,15,1502.9579275548529,1509.6048550923847,-6.6469275375318375,1.0,6.0,4.0,4.0,27.0,73.0,1,3.0,9.0,8.0,6.0,25.0,74.0,0,283000000.0,24,117000000.0,30
2015-09-26,Leicester,Arsenal,2,5,7,12,9,12,A,4.2925,3.83125,1.83625,15,1530.647324886887,1510.7097461874075,19.937578699479445,2.0,9.0,9.0,7.0,21.0,58.0,0,3.0,10.0,5.0,3.0,35.0,39.0,0,89800000.0,23,402000000.0,25
2015-09-26,Liverpool,Aston Villa,3,2,12,4,8,13,H,1.525,4.14125,7.046250000000001,15,1497.0364052388811,1464.7782732792418,32.258131959639286,1.0,5.0,3.0,7.0,22.0,56.0,0,0.0,1.0,5.0,9.0,16.0,62.0,0,330250000.0,26,105550000.0,28
2015-09-26,Man United,Sunderland,3,0,7,4,12,17,H,1.21625,6.737500000000001,14.18125,15,1534.0016860129656,1454.5310567132558,79.4706292997098,3.0,10.0,8.0,5.0,20.0,59.0,2,0.0,2.0,4.0,9.0,11.0,63.0,0,377250000.0,25,113250000.0,28
2015-09-26,Newcastle,Chelsea,2,2,5,4,12,15,D,5.86625,3.975,1.62375,15,1455.4081351201576,1490.5994161609156,-35.191281040757985,0.0,1.0,1.0,7.0,11.0,53.0,0,2.0,6.0,7.0,10.0,26.0,58.0,1,157500000.0,28,531750000.0,24
2015-09-26,Southampton,Swansea,3,1,7,4,18,14,H,2.04875,3.3587499999999997,3.97,15,1488.734852196691,1509.6755814642615,-20.940729267570532,1.0,5.0,5.0,6.0,29.0,37.0,0,2.0,8.0,5.0,3.0,25.0,52.0,0,185750000.0,27,129250000.0,25
2015-09-26,Stoke,Bournemouth,2,1,5,6,13,11,H,2.5,3.3062500000000004,2.9425,15,1467.4007648810357,1490.0143356258684,-22.61357074483271,0.0,3.0,5.0,8.0,21.0,40.0,0,2.0,7.0,8.0,8.0,18.0,63.0,1,116250000.0,29,52500000.0,28
2015-09-26,Tottenham,Man City,4,1,8,8,17,6,H,3.94,3.6225,1.97625,15,1513.1295272735929,1543.3864183926032,-30.256891119010337,2.0,9.0,5.0,3.0,29.0,70.0,2,4.0,12.0,9.0,2.0,37.0,58.0,0,283000000.0,24,480850000.0,25
2015-09-26,West Ham,Norwich,2,2,7,7,7,17,D,2.2275,3.3975,3.3425,15,1525.2450920875926,1499.649597518325,25.595494569267657,3.0,9.0,11.0,7.0,18.0,45.0,3,2.0,8.0,8.0,7.0,20.0,58.0,0,165000000.0,27,72650000.0,26
